;CASE_NUMBER;CASE_STATUS;CASE_SUBMITTED;DECISION_DATE;VISA_CLASS;EMPLOYMENT_START_DATE;EMPLOYMENT_END_DATE;EMPLOYER_NAME;EMPLOYER_ADDRESS1;EMPLOYER_ADDRESS2;EMPLOYER_CITY;EMPLOYER_STATE;EMPLOYER_POSTAL_CODE;EMPLOYER_COUNTRY;EMPLOYER_PROVINCE;EMPLOYER_PHONE;EMPLOYER_PHONE_EXT;AGENT_ATTORNEY_NAME;AGENT_ATTORNEY_CITY;AGENT_ATTORNEY_STATE;JOB_TITLE;SOC_CODE;SOC_NAME;NAIC_CODE;TOTAL WORKERS;FULL_TIME_POSITION;PREVAILING_WAGE;PW_UNIT_OF_PAY;PW_WAGE_LEVEL;PW_WAGE_SOURCE;PW_WAGE_SOURCE_YEAR;PW_WAGE_SOURCE_OTHER;WAGE_RATE_OF_PAY;WAGE_UNIT_OF_PAY;H-1B_DEPENDENT;WILLFUL VIOLATOR;WORKSITE_CITY;WORKSITE_COUNTY;WORKSITE_STATE;WORKSITE_POSTAL_CODE,,,
46;I-200-10088-558626;CERTIFIED-WITHDRAWN;2012-02-24;2014-12-02;H-1B;07/19/2012;07/18/2015;CALIFORNIA INSTITUTE OF TECHNOLOGY;1200 E. CALIFORNIA BLVD;;PASADENA;CA;91125;UNITED STATES OF AMERICA;;6263952188.0;;;;;RESEARCHER;15-2021;MATHEMATICIANS;611310.0;1.0;Y;47320.0;Year;Level I;OES;2011.0;OFLC ONLINE DATA CENTER;62000 -;Year;N;N;PASADENA;LOS ANGELES;CA;91125,,,
47;I-200-10097-538466;CERTIFIED;2015-06-12;2015-06-18;H-1B;07/01/2015;06/30/2018;UNIVERSITY OF TEXAS AT EL PASO;HUMAN RESOURCE SERVICES;500 W. UNIVERSITY AVENUE, ADMIN. BLDG. #216;EL PASO;TX;79968;UNITED STATES OF AMERICA;;9157477509.0;;ANDREW THORLEY;AUSTIN;TX;PROGRAM COORDINATOR;27-3031;PUBLIC RELATIONS SPECIALISTS;611310.0;1.0;Y;33987.0;Year;Level I;OES;2015.0;OFLC ONLINE DATA CENTER;33987 -;Year;N;N;EL PASO;EL PASO;TX;79968,,
48;I-200-10110-383326;CERTIFIED;2015-02-04;2015-02-10;H-1B;02/09/2015;02/08/2018;AIMIC INC;14102 SULLYFIELD CIR;STE 700;CHANTILLY;VA;20151;UNITED STATES OF AMERICA;;7033524567.0;125.0;;;;PROGRAMMER ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541511.0;1.0;Y;47431.0;Year;Level I;OES;2014.0;OFLC ONLINE DATA CENTER;47431 -;Year;Y;N;BUFFALO;NIAGARA;NY;14210,,,
49;I-200-10110-892779;CERTIFIED-WITHDRAWN;2013-07-10;2015-03-06;H-1B;07/10/2013;09/24/2015;SARAYU CONSULTANTS INC;870 E HIGGINS ROAD;SUITE 143B;SCHAUMBURG;IL;60173;UNITED STATES OF AMERICA;;8478443325.0;;MICHELLE SHEPARD;WOBURN;MA;PROGRAMMER ANALYST;15-1131;COMPUTER PROGRAMMERS;541512.0;1.0;Y;65707.0;Year;Level II;Other;2013.0;FLC DATA CENTER ONLINE WAGE LIBRARY;66000 -;Year;Y;N;CHARLOTTE;MECKLENBURG;NC;28202,,,
50;I-200-10111-541256;WITHDRAWN;2014-10-13;2014-10-13;H-1B;10/13/2014;10/12/2017;THE VALDEN GROUP;1669 WORLD TRADE CENTER LOOP;;LAREDO;TX;78045;UNITED STATES OF AMERICA;;9567298500.0;;LAURIE SNIDER;DALLAS;TX;TRADE ANALYST/ECONOMIST;19-3011.00;ECONOMISTS;4885.0;1.0;Y;45739.0;Year;Level I;OES;2012.0;OFLC ONLINE DATA CENTER;50000.00 -;Year;N;N;LAREDO;WEBB;TX;78045,,,
51;I-200-10116-840479;CERTIFIED;2015-02-04;2015-02-10;H-1B;02/04/2015;02/04/2018;TRANS AMERICAN INFORMATION SYSTEMS INC;860 HEBRON PKWY;#701;LEWISVILLE;TX;75057;UNITED STATES OF AMERICA;;9723150444.0;;JOHN BOUDIA;SOUTHFIELD;MI;E-COMMERCE QA ANALYST;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541511.0;1.0;Y;57678.0;Year;Level I;Other;2014.0;OFLC ONLINE DATA CENTER;65000 -;Year;Y;N;CORTE MADERA;MARIN;CA;94925,,
52;I-200-10123-072652;CERTIFIED;2014-12-23;2014-12-30;H-1B;05/01/2015;04/30/2018;UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER;1100 N LINDSAY;SCB 121;OKLAHOMA CITY;OK;73104;UNITED STATES OF AMERICA;;4052712180.0;;;;;RESEARCH BIOSTATISTICIAN;15-2041;STATISTICIANS;611310.0;1.0;Y;47133.0;Year;Level I;Other;2014.0;OFLC DATA CENTER;53000 -;Year;N;N;OKLAHOMA CITY;OKLAHOMA;OK;73104,,,
53;I-200-10126-411525;CERTIFIED;2015-02-11;2015-02-19;H-1B;07/01/2015;06/30/2018;LLAMASOFT, INC.;201 S. MAIN STREET;FOURTH FLOOR;ANN ARBOR;MI;48104;UNITED STATES OF AMERICA;;7344183119.0;;RICHARD PIERCE;ANN ARBOR;MI;APPLIED RESEARCH SCIENTIST;15-2031;OPERATIONS RESEARCH ANALYSTS;541614.0;1.0;Y;80018.0;Year;Level III;Other;2014.0;ONLINE WAGE LIBRARY;87150.00 -;Year;N;N;ANN ARBOR;WASHTENAW;MI;48104,,
54;I-200-10131-100799;CERTIFIED;2015-06-04;2015-06-10;H-1B;09/15/2015;09/15/2018;E.I. DU PONT DE NEMOURS AND COMPANY;974 CENTRE ROAD, CHESTNUT RUN PLAZA;BUILDING 721/ROOM 1254;WILMINGTON;DE;19805;UNITED STATES OF AMERICA;;3029968284.0;;LAWRENCE RUDNICK;PHILADELPHIA;PA;MECHANICAL ENGINEERING CONSULTANT;17-2141;MECHANICAL ENGINEERS;325199.0;1.0;Y;96013.0;Year;Level III;OES;2014.0;OFLC ONLINE DATA CENTER;96013 - 128340;Year;N;N;WILMINGTON;NEW CASTLE;DE;19805,,
55;I-200-10137-273423;DENIED;2015-03-20;2015-03-31;H-1B;08/15/2015;08/15/2018;INTERNATIONAL SOLUTIONS GROUP, INC.;1110 ELDEN STREET;SUITE 201;HERNDON;VA;20170;UNITED STATES OF AMERICA;;7037668800.0;201.0;;;;PROGRAMMER ANALYST;15-1021.00;COMPUTER PROGRAMMERS;541511.0;1.0;Y;70013.0;Year;Level II;OES;2015.0;OFLC  ONLINE DATACENTER;63523.00 -;Year;Y;N;CHANDLER;MARICOPA;AZ;85248,,
56;I-200-10137-791989;DENIED;2015-03-20;2015-03-31;H-1B;08/15/2015;08/14/2018;INTERNATIONAL SOLUTIONS GROUP, INC.;1110 ELDEN STREET;SUITE 201;HERNDON;VA;20170;UNITED STATES OF AMERICA;;7037668800.0;;;;;PROGRAMMER ANALYST;15-1131;COMPUTER PROGRAMMERS;541511.0;1.0;Y;69056.0;Year;Level II;OES;2015.0;ONLINE WAGE LIBRARY;69056 -;Year;N;N;WASHINGTON;WASHINGTON;DC;20001,,
57;I-200-10147-349494;CERTIFIED-WITHDRAWN;2010-05-27;2015-08-09;H-1B;09/11/2010;09/10/2013;MAP-IT SOLUTIONS INC;8510 S STEPHANIE LN;;TEMPE;AZ;85284;UNITED STATES OF AMERICA;;4806265039.0;;;;;BUSINESS ANALYST;13-1111.00;MANAGEMENT ANALYSTS;54151.0;1.0;Y;60216.0;Year;Level I;Other;2010.0;OFLC ONLINE DATA CENTER;80000.00 -;Year;N;N;SAN JOSE;SANTA CLARA;CA;95134,,,

